term	level	class
GO:0000970	8	biological_process
GO:0000971	8	biological_process
GO:0000972	6	biological_process
GO:0000973	7	biological_process
GO:0000974	2	cellular_component
GO:0000976	5	molecular_function
GO:0000977	6	molecular_function
GO:0000978	7	molecular_function
GO:0000979	7	molecular_function
GO:0000981	3	molecular_function
GO:0000987	6	molecular_function
GO:0000992	7	molecular_function
GO:0000993	5	molecular_function
GO:0000994	6	molecular_function
GO:0000995	2	molecular_function
GO:0001000	6	molecular_function
GO:0001001	6	molecular_function
GO:0001002	8	molecular_function
GO:0001003	8	molecular_function
GO:0001006	8	molecular_function
GO:0001010	3	molecular_function
GO:0001014	8	biological_process
GO:0001015	8	biological_process
GO:0001016	6	molecular_function
GO:0001018	6	molecular_function
GO:0001019	6	molecular_function
GO:0001025	5	molecular_function
GO:0001039	8	molecular_function
GO:0001042	6	molecular_function
GO:0001046	6	molecular_function
GO:0001048	6	molecular_function
GO:0001049	6	molecular_function
GO:0001050	5	molecular_function
GO:0001051	6	molecular_function
GO:0001052	7	molecular_function
GO:0001054	7	molecular_function
GO:0001055	7	molecular_function
GO:0001056	7	molecular_function
GO:0001057	7	molecular_function
GO:0001058	7	molecular_function
GO:0001059	7	biological_process
GO:0001060	7	biological_process
GO:0001064	7	molecular_function
GO:0001065	8	molecular_function
GO:0001066	8	molecular_function
GO:0001067	4	molecular_function
GO:0001068	6	molecular_function
GO:0001069	5	molecular_function
GO:0001070	2	molecular_function
GO:0001072	2	molecular_function
GO:0001073	2	molecular_function
GO:0001079	6	biological_process
GO:0001080	7	biological_process
GO:0001081	7	biological_process
GO:0001091	5	molecular_function
GO:0001092	3	molecular_function
GO:0001093	6	molecular_function
GO:0001094	3	molecular_function
GO:0001095	3	molecular_function
GO:0001096	3	molecular_function
GO:0001097	3	molecular_function
GO:0001098	3	molecular_function
GO:0001099	4	molecular_function
GO:0001100	8	biological_process
GO:0001101	3	biological_process
GO:0001108	4	molecular_function
GO:0001109	6	biological_process
GO:0001110	7	biological_process
GO:0001111	7	biological_process
GO:0001112	7	biological_process
GO:0001113	8	biological_process
GO:0001114	2	cellular_component
GO:0001115	5	biological_process
GO:0001116	6	biological_process
GO:0001117	6	biological_process
GO:0001118	7	biological_process
GO:0001119	6	biological_process
GO:0001120	6	biological_process
GO:0001139	3	molecular_function
GO:0001147	6	molecular_function
GO:0001154	6	molecular_function
GO:0001155	6	molecular_function
GO:0001156	6	molecular_function
GO:0001161	6	molecular_function
GO:0001162	7	molecular_function
GO:0001163	6	molecular_function
GO:0001164	7	molecular_function
GO:0001165	7	molecular_function
GO:0001171	7	biological_process
GO:0001172	6	biological_process
GO:0001173	6	biological_process
GO:0001174	7	biological_process
GO:0001175	7	biological_process
GO:0001177	5	biological_process
GO:0001178	9	biological_process
GO:0001179	5	molecular_function
GO:0001181	2	molecular_function
GO:0001182	7	biological_process
GO:0001188	8	biological_process
GO:0001192	6	biological_process
GO:0001193	7	biological_process
GO:0001195	7	biological_process
GO:0001216	3	molecular_function
GO:0001217	3	molecular_function
GO:0001221	4	molecular_function
GO:0001222	5	molecular_function
GO:0001223	5	molecular_function
GO:0001227	4	molecular_function
GO:0001228	4	molecular_function
GO:0001325	5	biological_process
GO:0001326	8	biological_process
GO:0001400	2	cellular_component
GO:0001401	5	cellular_component
GO:0001402	3	biological_process
GO:0001403	6	biological_process
GO:0001405	4	cellular_component
GO:0001406	4	molecular_function
GO:0001407	3	biological_process
GO:0001408	8	biological_process
GO:0001409	6	molecular_function
GO:0001410	4	biological_process
GO:0001411	3	cellular_component
GO:0001501	4	biological_process
GO:0001502	3	biological_process
GO:0001503	2	biological_process
GO:0001504	4	biological_process
GO:0001505	3	biological_process
GO:0001507	6	biological_process
GO:0001508	4	biological_process
GO:0001510	4	biological_process
GO:0001512	4	molecular_function
GO:0001514	7	biological_process
GO:0001515	5	molecular_function
GO:0001516	8	biological_process
GO:0001517	5	molecular_function
GO:0001518	4	cellular_component
GO:0001519	6	biological_process
GO:0001520	6	cellular_component
GO:0001522	6	biological_process
GO:0001523	7	biological_process
GO:0001525	3	biological_process
GO:0001527	5	cellular_component
GO:0001530	3	molecular_function
GO:0001531	5	molecular_function
GO:0001532	5	molecular_function
GO:0001533	4	cellular_component
GO:0001534	2	cellular_component
GO:0001535	2	cellular_component
GO:0001536	2	cellular_component
GO:0001537	5	molecular_function
GO:0001539	3	biological_process
GO:0001540	4	molecular_function
GO:0001541	3	biological_process
GO:0001542	3	biological_process
GO:0001543	3	biological_process
GO:0001544	3	biological_process
GO:0001545	3	biological_process
GO:0001546	3	biological_process
GO:0001547	3	biological_process
GO:0001548	3	biological_process
GO:0001549	3	biological_process
GO:0001550	3	biological_process
GO:0001551	3	biological_process
GO:0001552	3	biological_process
GO:0001553	3	biological_process
GO:0001554	3	biological_process
GO:0001555	3	biological_process
GO:0001556	3	biological_process
GO:0001558	4	biological_process
GO:0001560	5	biological_process
GO:0001561	6	biological_process
GO:0001562	3	biological_process
GO:0001563	4	biological_process
GO:0001565	3	molecular_function
GO:0001566	4	molecular_function
GO:0001567	4	molecular_function
GO:0001568	3	biological_process
GO:0001569	5	biological_process
GO:0001570	4	biological_process
GO:0001571	4	molecular_function
GO:0001572	6	biological_process
GO:0001573	5	biological_process
GO:0001574	6	biological_process
GO:0001575	6	biological_process
GO:0001576	7	biological_process
GO:0001578	4	biological_process
GO:0001579	7	biological_process
GO:0001580	6	biological_process
GO:0001581	6	biological_process
GO:0001582	6	biological_process
GO:0001583	6	biological_process
GO:0001586	6	molecular_function
GO:0001587	6	molecular_function
GO:0001588	6	molecular_function
GO:0001591	6	molecular_function
GO:0001594	6	molecular_function
GO:0001595	5	molecular_function
GO:0001596	6	molecular_function
GO:0001601	7	molecular_function
GO:0001602	7	molecular_function
GO:0001604	5	molecular_function
GO:0001605	6	molecular_function
GO:0001607	6	molecular_function
GO:0001608	5	molecular_function
GO:0001609	5	molecular_function
GO:0001614	5	molecular_function
GO:0001616	5	molecular_function
GO:0001618	3	molecular_function
GO:0001621	6	molecular_function
GO:0001626	5	molecular_function
GO:0001631	7	molecular_function
GO:0001632	7	molecular_function
GO:0001634	5	molecular_function
GO:0001635	6	molecular_function
GO:0001637	5	molecular_function
GO:0001639	6	molecular_function
GO:0001640	6	molecular_function
GO:0001641	7	molecular_function
GO:0001642	7	molecular_function
GO:0001646	6	molecular_function
GO:0001647	5	molecular_function
GO:0001648	5	molecular_function
GO:0001649	4	biological_process
GO:0001650	2	cellular_component
GO:0001651	2	cellular_component
GO:0001652	2	cellular_component
GO:0001653	3	molecular_function
GO:0001654	5	biological_process
GO:0001655	4	biological_process
GO:0001656	5	biological_process
GO:0001657	5	biological_process
GO:0001658	5	biological_process
GO:0001659	3	biological_process
GO:0001660	5	biological_process
GO:0001661	4	biological_process
GO:0001662	4	biological_process
GO:0001664	4	molecular_function
GO:0001665	5	molecular_function
GO:0001666	3	biological_process
GO:0001667	4	biological_process
GO:0001669	9	cellular_component
GO:0001671	3	molecular_function
GO:0001673	7	cellular_component
GO:0001674	7	cellular_component
GO:0001675	3	biological_process
GO:0001676	5	biological_process
GO:0001677	7	biological_process
GO:0001678	4	biological_process
GO:0001680	9	biological_process
GO:0001681	7	molecular_function
GO:0001682	9	biological_process
GO:0001691	5	molecular_function
GO:0001692	4	biological_process
GO:0001694	5	biological_process
GO:0001695	5	biological_process
GO:0001696	4	biological_process
GO:0001697	5	biological_process
GO:0001698	5	biological_process
GO:0001699	5	biological_process
GO:0001700	5	biological_process
GO:0001701	6	biological_process
GO:0001702	5	biological_process
GO:0001703	5	biological_process
GO:0001704	3	biological_process
GO:0001705	4	biological_process
GO:0001706	4	biological_process
GO:0001707	4	biological_process
GO:0001708	3	biological_process
GO:0001709	3	biological_process
GO:0001710	5	biological_process
GO:0001711	5	biological_process
GO:0001712	5	biological_process
GO:0001713	4	biological_process
GO:0001714	4	biological_process
GO:0001715	4	biological_process
GO:0001716	6	molecular_function
